symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,market,momentum_score,name
EVZ.AX,0.7350000143051147,3.887871972674649,3.1880120062387935,12.394066762874994,2.4763436933848038,1.6687499411603728,100.0,100.0,85.45453954334178,118.7165872671177,-0.0,0.019000001748402915,4.0,1,1,1.0,1.0,AU,85.41312045106878,EVZ Limited
SPL.AX,0.7549999952316284,6.273419053256242,4.0,4.408606748820247,7.0898878210467675,0.8641975136032884,100.0,99.18699257907572,97.67442053882051,97.81867374622027,-0.0,0.018999997774759927,4.0,1,1,1.0,1.0,AU,85.40029081226051,Starpharma Holdings Limited
CXU.AX,0.05700000002980232,4.863849745936218,3.8275043950910788,4.441281876684574,7.5714281152705905,0.965517298964061,100.0,84.61538241107088,60.869566977925466,188.68314681547102,-0.0,0.00360000009338061,4.0,1,1,1.0,1.0,AU,84.2965550829551,Cauldron Energy Limited
KLV.AX,0.07599999755620956,3.441637907591582,2.8956249293142893,16.659233510117435,4.7777781457077,1.8148146512904164,94.99998975545145,98.33332991848381,64.51612089166616,109.4748484508739,-5.00001024454855,0.002266666789849599,4.0,1,1,1.0,1.0,AU,83.8155234591123,KLEVO FPO [KLV]
ELS.AX,7.619999885559082,5.9272612193756595,4.0,3.373245738318701,5.386792779605404,0.3905109231819692,93.74999426878395,85.09614840884632,75.59523395602682,84.68039495887315,-6.250005731216054,0.24733333587646483,4.0,1,1,1.0,1.0,AU,83.81313729313293,Elsight Limited
TEA.AX,8.229999542236328,2.181728184779184,2.070091089863227,5.327667999646114,1.0421344708776377,0.9693739707162827,100.0,99.2559636581929,86.14864951942532,121.13864061906332,-0.0,0.20133326848347982,4.0,1,1,1.0,1.0,AU,83.78945520896943,Tasmea Limited
CBE.AX,0.3199999928474426,3.595909493000426,2.9967086910432466,1.381255269735038,3.891304208743888,0.6842105098048072,73.91304122477703,91.3043470749257,69.56521964478863,79.54544867872019,-26.08695877522297,0.016333329677581786,4.0,1,1,1.0,1.0,AU,82.83027605809322,Cobre Limited
VMM.AX,3.5799999237060547,5.500876610171144,4.0,2.630978446024675,5.769231286509757,0.696682512651722,74.31192720752108,74.06545590291877,74.0540516855421,34.83591441591665,-25.68807279247892,0.12599999109903973,4.0,1,1,1.0,1.0,AU,82.35102656855753,Viridis Mining and Minerals Limited
CNQ.AX,0.5600000023841858,1.6590866024769881,1.727639321865438,0.5341435227595955,1.5000000931322597,0.31764702747437457,93.93939941273166,93.93939941273167,80.85106814700941,130.22077277591555,-6.060600587268339,0.017333332697550455,4.0,1,1,1.0,1.0,AU,82.17755879962745,Clean TeQ Water Limited
RMI.AX,0.0820000022649765,1.776471931577338,1.8045540084281573,19.553397096416987,2.0000000980339583,1.6451614066167646,80.95238264185458,84.95513593685386,80.6451527620855,52.41546980034445,-19.047617358145416,0.0024666671951611837,4.0,1,1,1.0,1.0,AU,82.11011976982935,Resource Minerals International Ltd
SLS.AX,1.5499999523162842,3.9648817255953435,3.2384713017364795,3.138572402328489,4.340000152587891,0.5979380480401133,85.29409805383841,92.4938565106964,66.02563181651317,61.35844092819714,-14.705901946161584,0.055333367983500165,4.0,1,1,1.0,1.0,AU,82.10793626536007,Solstice Minerals Limited
YUG.AX,0.09700000286102295,2.3238030863940797,2.1631831875715966,9.615135173954464,2.63636357478859,1.4871795092226248,80.00000993410707,72.49999555034886,78.26086674836387,41.46008107074499,-19.99999006589293,0.001533333957195282,4.0,1,1,1.0,1.0,AU,82.09538689057162,YUGOMTSLTD FPO [YUG]
SRG.AX,3.819999933242798,2.320157203941213,2.160794286775765,0.13275338092770117,1.0875534785767305,0.4308315174346369,100.0,100.0,89.69072925131142,130.8080671855522,-0.0,0.0713333288828532,4.0,1,1,1.0,1.0,AU,82.07462748513784,SRG Global Limited
DSM.AX,0.49000000953674316,,,0.5320182707390146,,0.8148147780218258,100.0,100.0,88.23528896153643,173.73494021125504,-0.0,0.012000000476837159,4.0,1,1,1.0,1.0,AU,81.90899974283852,DESERT MIN FPO [DSM]
SIQ.AX,11.920000076293945,2.05771462006204,1.9888333676857781,1.5929870028779636,0.5609675585596212,0.45365857970211176,100.0,86.66661580403645,68.82352050201365,244.0722967060811,-0.0,0.12266674041748046,4.0,1,1,1.0,1.0,AU,81.82871343506432,Smartgroup Corporation Ltd
BXN.AX,0.0860000029206276,1.9961418733189762,1.94848890085296,4.461111256735709,1.6923076482214174,0.45762715931083897,94.73686893561755,87.13451738637917,60.784318595152946,140.22993348772306,-5.263131064382448,0.003933331370353699,4.0,1,1,1.0,1.0,AU,81.78657666713049,Bioxyne Limited
AHL.AX,1.340000033378601,1.8866027370861287,1.876715295119845,2.055424353795388,0.9891264942684346,0.26906492965165985,100.0,100.0,78.57136775061521,110.24465815097193,-0.0,0.004666686058044434,4.0,1,1,1.0,1.0,AU,81.7574679630074,Adrad Holdings Limited
GW1.AX,0.08100000023841858,1.496398750222014,1.621040948289672,1.4997908279610024,1.4444443677923826,0.7608695669779255,89.6551768433893,91.95402357911858,74.46808797328825,95.62841816217544,-10.344823156610694,0.0033333333830038708,4.0,1,1,1.0,1.0,AU,81.67767608121378,Greenwing Resources Ltd
JGH.AX,0.08900000154972076,1.0136546700275506,1.3047313216716485,42.94594743806995,0.965517298964061,2.5600000089406967,100.0,94.55554521580666,81.39533715160971,108.02469910840009,-0.0,0.002933334559202194,4.0,1,1,1.0,1.0,AU,81.59571330626525,Jade Gas Holdings Limited
VFY.AX,3.25,0.9556678485193351,1.2667364697148082,2.8770648181806964,0.6666666666666667,0.9117646522587985,100.0,90.90908828188985,72.22220971261171,267.13087774964794,-0.0,0.1300000508626302,4.0,1,1,1.0,1.0,AU,81.26401101055448,VITRAFY FPO [VFY]
AKN.AX,0.024000000208616257,1.1978321899664466,1.425410424644466,8.207286636388146,2.1249998981365983,1.0,100.0,69.44444444444444,55.55555555555556,204.16666666666666,-0.0,0.0013333335518836975,4.0,1,1,1.0,1.0,AU,80.62794763318401,AuKing Mining Limited
CDA.AX,43.70000076293945,2.7096748096863648,2.4160188943665277,0.2486102471052302,1.2119422709428682,0.19594963513997965,95.33469517243513,84.98987648016174,71.10874330496033,103.28832283334822,-4.665304827564862,0.6626663208007812,4.0,1,1,1.0,1.0,AU,80.4376549748458,Codan Limited
SKS.AX,8.600000381469727,6.351105814924763,4.0,13.070156318811456,3.771159405803102,0.9589978685704237,53.65857700731742,63.61790337592015,62.460583814570676,8.668785755315175,-46.34142299268258,0.24399986267089843,4.0,1,1,1.0,1.0,AU,80.26231562244637,SKS Technologies Group Limited
EIQ.AX,1.2899999618530273,4.434230118170479,3.546003638019934,19.043976704541734,3.6363635747885894,0.767123189243599,70.2702667871647,77.80939873235644,67.532466728222,-10.903464205771906,-29.729733212835296,0.05999999841054281,4.0,1,1,1.0,1.0,AU,80.24683527812338,Echo IQ Limited
CCL.AX,4.949999809265137,1.5891741065775749,1.6818303800655316,0.6407378621404373,0.6136974338799359,0.18421052931778625,100.0,100.0,77.46479629974137,129.62943059712885,-0.0,0.04733330408732096,4.0,1,1,1.0,1.0,AU,80.01677808668289,CUSCAL LTD FPO [CCL]
