symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,weekly_score,weekly_rank_change
PEB.NZ,0.30000001192092896,1.081662592491821,1.1579629338855368,0.03651612815116184,0.8333333074632621,0.5151515835682337,100.0,75.61904944854251,62.49999689559232,202.45106881946964,-0.0,0.014333336551984151,4.0,1,1,1.0,1.0,2.0144007282371588,0.0,0,NZ,77.60040800618978,Pacific Edge Limited,Healthcare,0.13207557779396217,2.9082846658902075,,0.7871202139232771,0.17063469080389404,76.35925798186835,47
IFT.NZ,15.420000076293945,1.535612974717902,1.389926234874701,1.7479490465940555,0.47008150090642475,0.434418611748274,34.0909263319198,21.21213434812937,52.316077285557114,-23.80027906731827,-65.9090736680802,0.24600003560384115,4.0,1,1,1.0,1.0,1.2578448378156197,-0.03624999523162842,0,NZ,70.75240194765183,Infratil Limited,Industrials,-0.0283553757095244,-0.24693054770637973,25.274757520658568,1.5546259106821958,0.020370955002119606,47.261000397579025,204
FCG.NZ,4.460000038146973,2.171118368969256,1.7146620095734164,0.6079591067891279,0.5462620610761675,0.13934744988532288,100.0,97.61910438543013,69.99996821087633,98.98997196774864,-0.0,0.02000001271565755,4.0,1,1,1.0,1.0,0.6320378657246777,-0.08418888235046451,0,NZ,68.88852636720897,Fonterra Co-operative Group Limited,Consumer Defensive,0.0022472425416770747,0.6208262191769297,53.84623849172872,0.8356284236153378,0.01454094136203632,56.947013208838186,155
HGH.NZ,1.2300000190734863,1.9921795416224872,1.6232263754344087,-0.09225372234833805,0.5553575435553837,-0.019920299803290464,84.00001525878906,89.33334350585938,70.51280444583148,95.31766310589003,-15.999984741210938,0.026000014940897622,4.0,1,1,1.0,1.0,1.2264717324631205,-0.03906246362021115,4,NZ,68.12027718961316,Heartland Group Holdings Limited,Financial Services,0.0884955966936618,87.80493087935596,77.77779249497831,1.4702174077064716,0.0658528805074945,93.74976324424492,3
GNE.NZ,2.640000104904175,1.0108546051808704,1.121780885987476,0.05895840186654572,0.16083078883079827,0.19457016259499516,100.0,100.0,74.19356823464084,151.93817060628544,-0.0,0.02133332888285319,4.0,1,1,1.0,1.0,0.8529036031101318,0.0,28,NZ,65.98507974906583,Genesis Energy Limited,Utilities,0.0645161631452178,9.24191712423761,,1.1499735210487294,0.05605305854360276,88.35792767047693,8
MCY.NZ,7.059999942779541,1.0044720398930844,1.118519470266944,0.3835988970277778,0.1963282911092683,0.09627327329973312,61.53846153846154,51.28205128205127,50.64933536866681,79.5454102114334,-38.46153846153846,0.0526666005452474,4.0,1,1,1.0,1.0,1.107041446987556,-0.01396646742509522,33,NZ,65.58715528906575,Mercury NZ Limited,Utilities,0.02318838336241935,0.3896551132696948,80.76917433884752,1.1135285538299877,0.016857566157981285,75.35817519755241,49
THL.NZ,2.4700000286102295,0.7957035655559691,1.0118412376983656,-0.09611356800713533,0.571316143166863,0.0019155476278620576,71.87499417923486,80.72915095060081,63.11474592895559,61.397133671966294,-28.125005820765136,0.08133336702982584,4.0,1,1,1.0,1.0,1.549688508636359,-0.0891677320222185,41,NZ,65.11896333345736,Tourism Holdings Limited,Consumer Cyclical,0.12272726139746437,228.5424902963915,71.42856602225542,7.104223362617432,0.07325551061161173,95.0980680730385,2
IKE.NZ,1.2300000190734863,0.8220745655412937,1.0253165082267965,0.6455337114994409,0.3351063812923085,0.2551020358513416,100.0,93.75000931322074,50.0,94.79157353455844,-0.0,0.011666671435038248,4.0,1,1,1.0,1.0,0.9407850054768523,-0.04280151671328203,45,NZ,64.63116166172458,ikeGPS Group Limited,Technology,0.06493510782815948,0.21784689755445222,94.11765530859765,1.5506149087977983,0.03043718271057161,87.03036616517105,11
POT.NZ,8.239999771118164,1.5940667791278444,1.4197954407553393,0.08989197800067569,0.28112521977513527,0.028714049396280084,68.74985098824595,54.58328366274864,48.245616236551314,61.634982470977405,-31.250149011754047,0.08533337910970053,4.0,1,1,1.0,1.0,1.0312110746411345,-0.02485207608131712,91,NZ,62.06674906226831,Port of Tauranga Limited,Industrials,0.01602960788461738,0.0018941279708409857,75.99992370634573,0.6179145790987667,0.007131855536974374,55.14598018588953,163
MEL.NZ,5.909999847412109,0.3252900171152923,0.813977923625276,0.0644762335500067,0.07370545610901602,0.061803784335959344,100.0,66.66666666666669,54.41176161221489,75.96874123587187,-0.0,0.04933331807454427,4.0,1,1,1.0,1.0,1.1925313825868356,-0.010272298397020596,93,NZ,61.78233852095963,Meridian Energy Limited,Utilities,0.011986248800558652,-0.00022156590685877003,62.96293025802236,3.184766932170885,0.011020439980053531,69.65844462986756,80
