symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,market,momentum_score,name
XWA.SI,4.099999904632568,2.0434852520528013,1.9795098228373365,162.92539330494515,2.9200000762939453,3.0999999046325684,,,,,,0.0,4.0,1,1,1.0,1.0,SG,95.0178621800911,AEM Holdings Ltd.
TGUD.SI,2.6600000858306885,,,2.628757953884555,,0.5907797970655368,97.72727519027426,97.15909173009142,84.74577504031902,229.3300709739064,-2.2727248097257426,0.04199999173482259,4.0,1,1,1.0,1.0,SG,82.9897905176795,t Gulf Dev TH SDR 1to1
TDED.SI,13.579999923706055,4.140679682897091,3.353659842654324,2.634080444670681,2.252198446743885,0.33006854779314065,72.82608921000529,90.2053823595093,70.41198729291517,31.936687595365147,-27.173910789994714,0.20799999237060546,4.0,1,1,1.0,1.0,SG,80.78326202246136,t Delta TH SDR 1to1
NC2.SI,0.7200000286102295,1.4483450864803764,1.5895546244602372,485.5177893991722,4.5132211413435614,4.657143178278091,75.00002483526767,58.73013552804752,52.830196742527995,90.7409063092153,-24.99997516473233,0.020333337783813476,4.0,1,1,1.0,1.0,SG,79.55274157121175,Sri Trang Agro-Industry Public Company Limited
PCT.SI,2.240000009536743,2.1181694255623333,2.0284453230459762,3.0729393173040087,1.3532405408320733,0.916485791697923,54.94504976266874,67.03295791580608,66.19718357155043,25.885597860785293,-45.05495023733126,0.10333334604899089,4.0,1,1,1.0,1.0,SG,79.50785101718112,PC Partner Group Limited
AWX.SI,9.569999694824219,7.929011441284571,4.0,226.39417216499254,5.010674578442542,2.0727649043821295,48.124986216420965,65.83333383003888,53.2520306292392,-18.65557816897544,-51.875013783579035,0.3719998677571615,4.0,1,1,1.0,1.0,SG,77.78814284072678,AEM Holdings Ltd.
TATD.SI,2.2899999618530273,1.4269156816616728,1.5755133812530286,-0.0019178813547899732,0.5954653838221695,0.14499998092651367,100.0,100.0,85.71429787850018,198.50716340229332,-0.0,0.018666664759318035,4.0,1,1,1.0,1.0,SG,77.1791946298332,Airports of Thailand Public Company Limited
O39.SI,23.940000534057617,2.888550813179522,2.5332242712880895,0.3977257338980514,0.4055321853342615,0.17902394146256428,60.402668240336205,75.75921107420523,65.25678591905589,76.41926622726702,-39.597331759663795,0.22200024922688802,4.0,1,1,1.0,1.0,SG,77.01251546199605,Oversea-Chinese Banking Corporation Limited
D05.SI,63.779998779296875,2.4258089932021556,2.2300207763045297,0.1483700876095829,0.35021785037672504,0.19008105868854042,70.39620344673968,83.87775006534308,72.3191671220992,73.52388735783305,-29.603796553260317,0.5393338521321615,4.0,1,1,1.0,1.0,SG,76.76607352825265,DBS Group Holdings Ltd
AGS.SI,2.640000104904175,1.8814324510979934,1.8733275555337756,0.25930285441089895,0.4776302737061173,0.16299565069892363,87.5000186264415,84.37499844779654,64.99998360874125,77.29477078811883,-12.4999813735585,0.05666672388712565,4.0,1,1,1.0,1.0,SG,76.32618119247505,The Hour Glass Limited
TKKD.SI,7.940000057220459,1.9246092700624282,1.9016184120051647,0.05734214217684825,0.3546634542462961,0.10992139078296725,87.09678411732042,92.47309843202582,72.00002670288086,87.65841399916951,-12.903215882679579,0.03400001525878906,4.0,1,1,1.0,1.0,SG,75.60243741724327,t Kasikorn BK TH SDR1to1
HBND.SI,0.875,0.8062769703330446,1.168850706143748,0.5234772015317536,0.13163977230161916,0.19047616730626094,100.0,100.0,69.2307339617797,188.72546493111895,-0.0,0.005000003178914388,4.0,1,1,1.0,1.0,SG,75.04621022995295,Bank of China Limited
VC2.SI,1.2400000095367432,1.2159403479044744,1.4372754788442201,0.9415768148824444,0.35158862246837197,0.46745558290236944,70.00003576277834,83.33335320154352,56.521732369984136,58.71966046228029,-29.99996423722166,0.016000000635782878,4.0,1,1,1.0,1.0,SG,74.1877375889943,Olam Group Limited
V03.SI,17.8799991607666,3.398949341694821,2.86765399213734,0.20610094698553885,0.765147653739392,0.18831471664121469,57.89465758948216,75.43856420312235,54.34781557071451,3.371159234589977,-42.10534241051784,0.22133369445800782,4.0,1,1,1.0,1.0,SG,73.57478023365327,Venture Corporation Limited
S68.SI,21.739999771118164,2.6847779051605642,2.3997056325419015,1.0971339630967025,0.5253093175880446,0.22987865895780124,47.61906924431164,66.52918081160304,58.35617798447993,-39.632732523408045,-52.38093075568836,0.2546665191650391,4.0,1,1,1.0,1.0,SG,73.44801616176557,Singapore Exchange Limited
HCCD.SI,3.880000114440918,,,2.151903254698445,,0.5148260061684347,45.45458486258417,67.6767910296795,56.081084237646,20.565014112583352,-54.54541513741583,0.10266664822896322,4.0,1,1,1.0,1.0,SG,73.12009687249947,h CATL HK SDR 30to1
BUOU.SI,0.9850000143051147,1.601256053075965,1.6897468644772828,-1.804286289449936e-07,0.2607638160227015,0.05257245116324283,75.00002483526767,80.55557487187484,80.00001589457446,32.64747810462843,-24.99997516473233,0.004999999205271403,4.0,1,1,1.0,1.0,SG,71.15945322410015,Frasers Logistics & Commercial Trust
HSHD.SI,4.650000095367432,2.3805960451524184,2.2003957818143816,0.12803002120511875,0.5565860309288373,0.08862926750906563,46.666666666666664,77.77777777777779,57.57575757575757,-30.2528077743461,-53.333333333333336,0.04533329010009766,4.0,1,1,1.0,1.0,SG,71.15270482060012,HSBC Holdings plc
EMI.SI,0.3449999988079071,1.1045103029608585,1.364262888206244,0.0007671546020869363,0.7183507525656077,0.0,,,,,,0.0,2.0,0,0,1.0,1.0,SG,70.94137741908119,Emperador Inc.
U11.SI,38.54999923706055,0.7427912356332234,1.127252787365786,7.040698449119916e-05,0.09250831132952664,0.09153848081457117,83.44369020581703,83.66448816053072,69.59250835288518,123.32724418934365,-16.55630979418296,0.21733296712239583,4.0,1,1,1.0,1.0,SG,70.2902561819239,United Overseas Bank Limited
NTDU.SI,0.9800000190734863,,,0.001234221036062767,,0.08030352916486772,100.0,67.44789059450164,52.318693756867965,123.6872967235365,-0.0,0.010263256231943766,4.0,1,1,1.0,1.0,SG,69.89516307177034,NTT DC REIT USD
S61.SI,3.5199999809265137,2.676060767759987,2.3939938805194965,0.38098385186797584,0.4808581550767097,-0.004009274267456231,78.57142857142857,61.90476190476189,57.49999999999999,65.42056074766347,-21.428571428571427,0.02733330726623535,2.0,0,0,1.0,1.0,SG,69.67565204784835,SBS Transit Ltd
O5RU.SI,1.559999942779541,1.8659300940684476,1.863169906864651,0.09994282696940594,0.2688076563921653,0.10157588434311338,33.333267106018674,38.8888778510031,59.999976158176196,-66.66693157575037,-66.66673289398133,0.006933347384134928,4.0,1,1,1.0,1.0,SG,68.00194800968455,AIMS APAC REIT
E28.SI,2.9200000762939453,3.592829518753827,2.994690591715043,5.947250257714534,1.5556585378154462,0.453060738296877,22.916693571539977,35.27778622176958,42.261905353220655,-115.72826980690647,-77.08330642846002,0.12733333905537922,3.0,0,1,1.0,1.0,SG,67.43264461886669,Frencken Group Limited
HSMD.SI,2.5,,,0.00856364926616665,,0.25,39.9999926640448,59.99999510936319,55.79710507988837,-24.709193671202698,-60.0000073359552,0.09866666793823242,4.0,1,1,1.0,1.0,SG,67.19617092078057,h SMIC HK SDR 5to1
S58.SI,3.990000009536743,0.43418205219067335,0.9302689124328817,-0.10789717086210289,0.09485135884722884,0.08719344048786537,93.97590880574687,95.98393920383126,88.54167520379205,89.96968213331398,-6.024091194253135,0.06533331871032715,4.0,1,1,1.0,1.0,SG,66.40365753589361,SATS Ltd.
SO7.SI,17.940000534057617,1.0,1.2957843376376506,0.0,0.5572916511446244,0.0,,,,,,0.0,1.0,0,0,0.0,1.0,SG,66.3634527747358,Yangzijiang Shipbuilding (Holdings) Ltd.
Y92.SI,0.4300000071525574,-0.13607164601569474,0.6903184660875493,0.029675164161756775,-0.06937112829575409,0.457898652017225,86.81638098373834,86.49636491853784,83.4543728463376,48.08135345078,-13.183619016261659,0.014571422338485717,4.0,1,1,1.0,1.0,SG,65.85112406934496,Thai Beverage Public Company Limited
T82U.SI,1.4500000476837158,2.0853360366356526,2.006931818441592,0.023723471124294983,0.4096175576581391,0.08011722665871956,60.000095367295216,40.00006357819683,52.94116822082568,-25.92579837696276,-39.999904632704784,0.012000020345052083,2.0,0,0,1.0,1.0,SG,65.51782062138233,Suntec Real Estate Investment Trust
SET.SI,1.5700000524520874,0.7035810098830361,1.1015609718148753,0.0014354376179367607,0.1281562947331012,-0.006329107716228521,71.42862008538785,47.619023290639404,58.33333747253845,61.11119389517245,-28.57137991461215,0.017333356539408366,4.0,1,1,1.0,1.0,SG,65.13890125621576,Stoneweg Europe Stapled Trust
J69U.SI,2.2699999809265137,0.7204485408770008,1.1126131268791482,0.0010620069913659363,0.08298236941120196,0.01793720247125674,100.0,94.44444444444444,61.11111111111111,83.64779874213892,-0.0,0.012666654586791993,3.0,1,1,1.0,0.0,SG,65.01856419969567,Frasers Centrepoint Trust
BWM.SI,0.5849999785423279,0.9079375205896297,1.235462006028544,0.25740802010955793,0.29999999293414903,0.05786619672767257,39.999904632704784,46.666555404822226,47.05882765429883,-29.535974172763083,-60.000095367295216,0.005666669209798177,4.0,1,1,1.0,1.0,SG,64.77980817855763,Zheneng Jinjiang Environment Holding Company Limited
558.SI,2.5299999713897705,2.9192915319067434,2.5533665902962484,10.001847669738057,1.5240403384329162,0.7017261434596909,0.0,3.124997671693078,33.6842020726871,-178.94750711334603,-100.0,0.07066663106282552,3.0,0,1,1.0,1.0,SG,64.51017849111118,UMS Integration Limited
C09.SI,8.359999656677246,2.517533633486852,2.2901217447274616,-0.20714385724216156,0.6612795045054682,-0.07776873371108006,70.27022498988332,73.4234083299611,64.70585760362576,36.24586779601453,-29.729775010116683,0.11333341598510742,3.0,1,1,0.0,1.0,SG,64.09058794607557,City Developments Limited
TSCD.SI,0.8899999856948853,1.388464751333506,1.5503190807650378,0.04652112685396045,0.4973937571592211,0.2093093283284122,40.0,53.333333333333364,41.66666666666667,-37.4485596707823,-60.0,0.004333329200744629,3.0,0,1,1.0,1.0,SG,64.05642568741118,t SiamCement TH SDR10to1
S63.SI,10.890000343322754,1.5092964765654542,1.6294919581959384,0.27427884904522243,0.3922827984230828,0.018620363106848448,22.019827345466908,59.04140231757566,63.03091327661451,-109.90683059021171,-77.98017265453309,0.15241330464680988,2.0,0,0,1.0,1.0,SG,63.638463384840875,Singapore Technologies Engineering Ltd
AVP.SI,13.869999885559082,,,-0.027748908595957925,,-0.012108267575202225,52.036180935748675,62.02918559601867,65.36697879823876,59.29900540940291,-47.963819064251325,0.29933325449625653,3.0,1,1,1.0,0.0,SG,63.466474496867605,"AvePoint, Inc."
P52.SI,1.5,2.9668910910965787,2.5845553700498067,1.1849290572489104,1.1155340387334323,0.05776693691485324,14.999991059300086,7.564097232601125,25.806441689127382,-42.98245944254743,-85.00000894069991,0.025999991099039714,2.0,0,0,1.0,1.0,SG,63.16722256809841,Pan-United Corporation Ltd
NIO.SI,5.650000095367432,1.1316444960298373,1.3820420942708167,0.5109767545592977,0.6318681005578799,0.18200833627033752,38.095251611028104,50.362330887773886,38.805971211488504,-4.5751536211788615,-61.904748388971896,0.18733332951863607,1.0,0,0,1.0,0.0,SG,62.94785234303666,NIO Inc.
TADD.SI,1.4199999570846558,1.3534745779265578,1.5273923808017917,-0.0016689438948995752,0.3374701410575156,-0.006993000580457598,49.99990065902801,72.22221118433644,46.66667726302438,6.896400527425265,-50.00009934097199,0.011333354314168294,4.0,1,1,1.0,1.0,SG,62.73836160859313,t AIS TH SDR 10to1
C6L.SI,6.96999979019165,-0.32950622246374617,0.6347790116560453,-0.005108575389512062,-0.050411828853449414,0.043413169057693324,87.4999441206755,95.83331470689183,83.13245882690208,111.41130640224631,-12.500055879324501,0.06533342997233073,4.0,1,1,1.0,1.0,SG,62.56006662847056,Singapore Airlines Limited
OV8.SI,3.0199999809265137,3.37550618626042,2.8522932740127045,0.3973866685404656,0.6920876755271395,0.17509729936681784,0.0,28.57142857142857,43.99999999999999,-146.12794612794545,-100.0,0.016666650772094727,2.0,0,0,1.0,1.0,SG,62.42575116744126,Sheng Siong Group Ltd
BVA.SI,0.2549999952316284,-0.03510344335010398,0.7233539303610887,1.5675413861687257,-0.015956330292998255,0.41666658388244104,33.33330021964311,61.11108351636926,52.1739119167359,-29.166682188719232,-66.6666997803569,0.00899999737739563,4.0,1,1,1.0,1.0,SG,62.24631805750981,Top Glove Corporation Bhd.
TS0U.SI,0.35499998927116394,1.7265381637126294,1.7718357792112305,-0.0034153577086048,0.3925445448504803,-0.04054058190241916,100.0,33.33333333333332,50.0,93.333333333334,-0.0,0.002666664123535156,1.0,0,0,0.0,1.0,SG,62.237304156578794,OUE Real Estate Investment Trust
5WJ.SI,0.8849999904632568,6.330019620579131,4.0,0.5032185171491715,3.5410629745325357,0.17433657120462964,9.09089923890297,5.071122196312977,17.948726570031766,-103.70373931568382,-90.90910076109702,0.021666669845581056,2.0,0,0,1.0,1.0,SG,62.17448691337475,MoneyMax Financial Services Ltd.
U10.SI,3.75,3.6058676970847197,3.00323363033286,1.4113417475947765,1.1981717534515202,0.2296042380219312,0.0,8.333343267438432,32.09877706049471,-141.7224722948014,-100.0,0.06400003433227539,2.0,0,0,1.0,1.0,SG,61.96580447156532,UOB-Kay Hian Holdings Limited
544.SI,1.3799999952316284,5.101343083251649,3.98311775615032,1.2566384757669735,2.5361441966089378,0.10669756728384083,0.0,15.27777915751488,35.06493808085483,-174.21523342232592,-100.0,0.06200001239776611,2.0,0,0,1.0,1.0,SG,61.920797384046786,CSE Global Limited
