symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,rank_vol_ratio,momentum_score,weekly_rank_ret_1w,weekly_rank_weekly_exp_slope,weekly_rank_weekly_rsi,weekly_rank_vol_surge,weekly_rank_price_vs_ema20,weekly_score,market,rank_change,weekly_rank_change,name,sector
PCT.SI,2.240000009536743,2.1181694255623333,3.0729393173040087,1.3532405408320733,0.916485791697923,54.94504976266874,66.19718357155043,25.885597860785293,-45.05495023733126,4.0,67.03295791580611,0.10333334604899089,1,1,1.0,1.0,1.1022629581497139,-0.15471700795310372,0.027522908689077363,30.616479032175835,53.40908721458861,1.6929971603245062,0.046177734793778846,1.6876057228569503,86.93304535637148,97.12765957446808,93.19654427645789,98.30148619957538,50.95137420718816,79.06976744186046,56.65961945031712,49.15433403805497,84.93657505285412,68.78980891719745,76.51202145143449,77.27272727272727,95.77167019027483,58.333333333333336,93.85593220338984,89.85200845665962,83.01713429127699,SG,0.0,-36.0,PC Partner Group Limited,Technology
AWX.SI,9.569999694824219,7.929011441284571,226.39417216499254,5.010674578442542,2.0727649043821295,48.124986216420965,53.2520306292392,-18.65557816897544,-51.875013783579035,4.0,65.83333383003888,0.3719998677571615,1,1,1.0,1.0,1.0906416645035928,-0.07980768789906456,-0.013402073917233026,-0.00018598344491782873,47.00460444693679,1.3165540076284994,0.047598097492139724,4.0,99.56803455723542,100.0,98.48812095032397,99.78768577494692,45.56025369978858,47.780126849894295,42.28329809725159,54.54545454545454,84.93657505285412,66.02972399150742,73.89792735192569,38.58350951374207,49.471458773784356,49.02597402597403,85.0635593220339,90.27484143763213,62.483868614633295,SG,0.0,-187.0,AEM Holdings Ltd.,Technology
O39.SI,23.940000534057617,2.888550813179522,0.3977257338980514,0.4055321853342615,0.17902394146256428,60.402668240336205,65.25678591905589,76.41926622726702,-39.597331759663795,4.0,75.75921107420524,0.22200024922688802,1,1,1.0,1.0,1.067589035002784,-0.024052186550043375,0.03367878634648025,0.7267797964680262,69.89796663114718,1.60785,0.026895941634220932,2.0812615422792984,92.65658747300216,82.97872340425532,75.80993520518359,82.16560509554141,56.131078224101486,76.63847780126851,75.26427061310783,43.97463002114165,84.93657505285412,60.828025477707,73.13839083681631,82.02959830866807,77.58985200845666,80.51948051948052,92.47881355932203,77.3784355179704,81.99923598277954,SG,0.0,-42.0,Oversea-Chinese Banking Corporation Limited,Financial Services
D05.SI,63.779998779296875,2.4258076037156893,0.1483701297577018,0.3502177305692016,0.19008105868854042,70.39620344673968,72.3191671220992,73.52388735783305,-29.603796553260317,4.0,83.87775006534308,0.5393338521321615,1,1,1.0,1.0,1.0350424579769624,-0.019523508268715073,0.029872411836020518,1.646787222928864,71.07056396602752,1.0005810535375481,0.03211807247036713,1.8448052100890266,89.95680345572354,75.85106382978724,71.49028077753779,83.97027600849258,63.74207188160676,89.32346723044398,73.78435517970402,36.36363636363637,84.93657505285412,51.38004246284501,72.07985722426315,78.8583509513742,82.24101479915433,81.4935064935065,56.144067796610166,81.28964059196618,76.00531612652227,SG,0.0,-65.0,DBS Group Holdings Ltd,Financial Services
HCCD.SI,3.880000114440918,,2.151903254698445,,0.5148260061684347,45.45458486258417,56.081084237646,20.565014112583352,-54.54541513741583,4.0,67.6767910296795,0.10266664822896322,1,1,1.0,1.0,,,-0.0051282001121667475,9.112725891386596,48.57142857142858,,0.018567941974043434,,,95.95744680851064,,96.28450106157112,43.551797040169134,54.54545454545454,55.391120507399584,56.553911205073994,84.93657505285412,,69.60297231729044,47.14587737843552,92.7061310782241,50.75757575757576,,69.66173361522199,65.06782945736434,SG,0.0,-166.0,h CATL HK SDR 30to1,Industrials
S68.SI,21.739999771118164,2.68477889314506,1.0971339278213148,0.5253094234968136,0.22987865895780124,47.61906924431164,58.35617798447993,-39.632732523408045,-52.38093075568836,4.0,66.52918081160306,0.2546665191650391,1,1,1.0,1.0,1.0397246679278576,-0.029464279404100013,0.013519766800184074,-0.03202668337299109,60.1398368214733,1.8124333618840924,0.0015095858586984257,1.9771364901352664,91.46868250539957,91.27659574468086,81.6414686825054,87.15498938428875,45.13742071881607,61.52219873150106,34.56659619450317,54.96828752642706,84.93657505285412,52.547770700636946,68.52205852416131,66.59619450317125,40.38054968287527,68.3982683982684,94.91525423728814,52.43128964059197,64.544311292439,SG,-1.0,-168.0,Singapore Exchange Limited,Financial Services
U11.SI,38.54999923706055,0.7427912356332234,7.040698449119916e-05,0.09250831132952664,0.09153848081457117,83.44369020581703,69.59250835288518,123.32724418934365,-16.55630979418296,4.0,83.66448816053072,0.21733296712239583,1,1,1.0,1.0,1.1982722002984376,-0.006443299095769239,0.022817740559484267,0.5890137721095371,71.28717919664608,1.8442874264886913,0.02220312439322214,0.9850311320474698,60.69114470842333,56.38297872340425,45.57235421166307,71.76220806794055,74.63002114164905,85.30655391120507,88.05496828752642,25.47568710359408,84.93657505285412,83.33333333333334,67.61458245415933,74.20718816067652,75.79281183932348,82.03463203463204,95.44491525423729,73.25581395348837,80.14707224847153,SG,-7.0,-47.0,United Overseas Bank Limited,Financial Services
HBND.SI,0.875,0.8062769703330446,0.5234772015317536,0.13163977230161916,0.19047616730626094,100.0,69.2307339617797,188.72546493111895,-0.0,4.0,100.0,0.005000003178914388,1,1,1.0,1.0,0.9241966727438469,0.0,0.04166669918904331,0.5633245082948791,,0.5616880662613523,0.026010979019662317,1.0172441230594436,62.20302375809935,85.53191489361703,51.295896328293736,84.07643312101911,93.18181818181817,84.56659619450318,97.14587737843551,6.923890063424948,84.93657505285412,25.265392781316347,67.51274177533816,86.36363636363636,75.36997885835095,,2.9661016949152543,76.74418604651163,60.36097574085355,SG,-7.0,-212.0,Bank of China Limited,Financial Services
VC2.SI,1.2400000095367432,1.2159403479044744,0.9415768148824444,0.35158862246837197,0.46745558290236944,70.00003576277834,56.521732369984136,58.71966046228029,-29.99996423722166,4.0,83.3333532015435,0.016000000635782878,1,1,1.0,1.0,0.9215233522809939,-0.023622025071121988,0.042016764631988,2.8900881749085485,72.72727272727273,0.9217604069411802,0.03399105712365991,1.2265772860581103,72.35421166306696,90.0,71.70626349892008,95.54140127388536,63.213530655391125,55.708245243128964,69.55602536997885,36.89217758985201,84.93657505285412,24.840764331210192,66.47491946782876,86.68076109936575,85.20084566596195,83.98268398268398,44.38559322033898,83.40380549682875,76.73073789303588,SG,-23.0,-62.0,Olam Group Limited,Consumer Defensive
HSMD.SI,2.5,,0.00856364926616665,,0.25,39.9999926640448,55.79710507988837,-24.709193671202698,-60.0000073359552,4.0,59.99999510936319,0.09866666793823242,1,1,1.0,1.0,1.4103655290293655,,-0.1349481282863504,0.003092727237003127,11.764694882648968,1.2233509153388709,-0.00759865517658842,,,62.12765957446808,,88.74734607218684,39.64059196617336,53.59408033826638,39.64059196617336,60.46511627906976,84.93657505285412,96.70912951167729,65.73263634510865,2.2198731501057085,56.97674418604651,7.792207792207792,78.8135593220339,41.86046511627907,37.5325699133346,SG,-30.0,-493.0,h SMIC HK SDR 5to1,
