symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,momentum_score,market,name
SNDK,1831.5,36.17495109446233,26.169313096633545,35.39544431943786,2.0572897664075156,100.0,71.84021923890796,136.30472233544722,-0.0,4.0,96.4933115683753,58.968017578125,1,1,1.0,1.0,4.0,99.38900203665987,99.64398734177216,99.95933306222041,99.64539007092199,92.42544731610339,92.1474358974359,92.56461232604374,7.614314115308152,89.1653605015674,85.83943140755923,US,Sandisk Corporation
WDC,575.5,12.45035745698624,7.613081022614847,7.89827453883208,1.2217503868744841,86.54472873974382,72.1831211726604,103.33827353761052,-13.455271260256188,4.0,95.51490957991462,13.304665120442708,1,1,1.0,1.0,4.0,99.38900203665987,98.73417721518987,99.47132980886539,98.97557131599685,79.00596421471174,92.38782051282051,85.92445328031809,21.033797216699803,89.1653605015674,84.89860845586995,US,Western Digital Corporation
STX,925.989990234375,8.350919671278396,10.012474933267212,5.240644343723526,1.5251954970840633,92.91019084449225,70.52727224623565,87.80374792975941,-7.08980915550775,4.0,97.63673028149742,20.525333658854166,1,1,1.0,1.0,4.0,99.38900203665987,98.93196202531645,98.65799105327369,99.2119779353822,82.0675944333996,90.7451923076923,81.86878727634195,17.97216699801193,89.1653605015674,84.22333717418283,US,Seagate Technology Holdings plc
AMAT,501.70001220703125,3.6120944632215712,1.2391477614058581,1.6630529849087257,0.44958220600730314,100.0,71.69275056728084,153.91662172354665,-0.0,4.0,100.0,9.74190673828125,1,1,1.0,1.0,3.0073136100831905,97.0264765784114,94.42246835443038,92.43594957299716,95.0354609929078,92.42544731610339,91.98717948717949,94.63220675944333,7.614314115308152,89.1653605015674,83.86054040870539,US,"Applied Materials, Inc."
HPE,55.150001525878906,1.5532859736016635,3.959059037110664,0.7410939468797391,1.575666531860802,95.75010671586053,88.69885339080707,168.51595767993328,-4.249893284139469,4.0,98.58336890528683,2.1120005289713544,1,1,1.0,1.0,1.658315307779082,85.70264765784114,97.98259493670885,81.82187881252541,99.29078014184397,83.3399602385686,99.43910256410257,96.34194831013917,16.69980119284294,89.1653605015674,83.30934159512668,US,Hewlett Packard Enterprise Company
MU,996.0,8.227279451148917,6.399992200553383,5.4715311637740625,1.5095540039727582,79.00410698871993,68.0898002547206,63.14481561214792,-20.995893011280074,4.0,93.00136899623999,42.377986653645834,1,1,1.0,1.0,4.0,99.38900203665987,98.61550632911393,98.86132574217162,99.1331757289204,74.75149105367794,88.46153846153845,74.7117296222664,25.288270377733596,89.1653605015674,83.15304442818329,US,"Micron Technology, Inc."
KLAC,2131.10009765625,2.9145691083581093,1.2979613059323218,1.3343426246254824,0.4928500338324586,100.0,66.7104755525219,143.31762461141662,-0.0,4.0,100.0,50.86680501302083,1,1,1.0,1.0,2.5502723047509983,95.23421588594705,94.58069620253164,90.15860105734038,95.94168636721828,92.42544731610339,87.21955128205127,93.51888667992047,7.614314115308152,89.1653605015674,82.87319548977645,US,KLA Corporation
NUE,262.2799987792969,3.218560971142386,1.1533629431633703,0.9511913671286971,0.529195423404967,100.0,77.69622329710626,112.26952349981767,-0.0,4.0,99.33752558883576,3.5759989420572915,1,1,1.0,1.0,2.749457663116196,96.08961303462323,94.06645569620254,85.44123627490849,96.2568951930654,92.42544731610339,95.67307692307693,88.19085487077535,7.614314115308152,89.1653605015674,82.76925043618121,US,Nucor Corporation
AMD,523.2000122070312,3.931433011777537,11.697077567356283,2.55363474566991,1.623213939395562,84.96146761792866,67.00915470338529,70.07931546205504,-15.038532382071336,4.0,94.98715587264287,14.6840087890625,1,1,1.0,1.0,3.2165546162448595,97.43380855397149,99.0506329113924,95.48596990646604,99.33018124507487,78.13121272365805,87.4198717948718,76.2624254473161,21.90854870775348,89.1653605015674,82.68755686578574,US,"Advanced Micro Devices, Inc."
TER,406.8599853515625,5.659508185018596,0.9671081499917414,3.671148083718366,0.3319381205688816,96.83345868268663,64.01099744067761,112.80146893229409,-3.1665413173133765,4.0,98.94448622756222,12.456357828776042,1,1,1.0,1.0,4.0,99.38900203665987,93.19620253164557,97.19398129320862,93.06540583136328,83.81709741550696,82.7323717948718,88.31013916500994,16.222664015904574,89.1653605015674,82.56580273174866,US,"Teradyne, Inc."
LRCX,336.4100036621094,5.067481735749881,1.078859170316122,2.531289270187046,0.5670300686574454,89.62037652962175,66.21693418262632,96.07845975888281,-10.379623470378244,4.0,96.54012550987392,7.905995686848958,1,1,1.0,1.0,3.960930699644619,98.61507128309572,93.75,95.40463603090687,96.65090622537431,80.67594433399601,85.53685897435898,83.69781312127238,19.363817097415506,89.1653605015674,82.5400452853319,US,Lam Research Corporation
DELL,421.0799865722656,1.4787688021928025,19.629618153236713,0.962548667455327,1.871399512767609,80.54616147529408,80.32029305562475,102.10038343958406,-19.453838524705912,4.0,89.0868371942744,19.810666910807292,1,1,1.0,1.0,1.609489232779937,84.5621181262729,99.44620253164557,85.64457096380642,99.5665878644602,75.70576540755467,96.9951923076923,85.32803180914513,24.33399602385686,89.1653605015674,82.30531394844462,US,Dell Technologies Inc.
COHR,421.8999938964844,4.510613374206997,4.4346167397137926,3.2223450327667695,0.6618741954981071,93.1886157701626,54.734253301654945,153.7822065396134,-6.811384229837406,4.0,93.42522486195026,12.023335774739584,1,1,1.0,1.0,3.596052432377075,98.0040733197556,98.10126582278481,96.7059780398536,97.39952718676122,82.14711729622266,65.6650641025641,94.5924453280318,17.892644135188867,89.1653605015674,82.18594174808112,US,Coherent Corp.
