symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector
DELL,394.3900146484375,1.6670719982110938,1.7599219598431546,22.73502757500989,1.0906037381569549,1.700780409654986,68.97703608435789,76.8299396802709,74.5063381098308,49.04445579506835,-31.022963915642112,21.122665405273438,4.0,1,1,1.0,1.0,1.372365382043686,-0.15359682830954058,-8.0,US,81.41001460808316,Dell Technologies Inc.,Technology
HPE,49.20000076293945,1.470250630238865,1.6271078648789836,4.916029647404577,0.7146031848104433,1.343457195266856,70.46323843281942,85.25286511617803,74.63280333405433,64.25651103905108,-29.536761567180573,2.247333780924479,4.0,1,1,1.0,1.0,1.5573636137102338,-0.12377561129248194,-10.0,US,81.38751910007964,Hewlett Packard Enterprise Company,Technology
JBHT,284.95001220703125,1.99425904764513,1.9807061780521782,0.5819884454584552,0.7544095912804609,0.3378342161611543,100.0,100.0,72.71275269497619,115.42365517562118,-0.0,3.840667724609375,4.0,1,1,1.0,1.0,1.062391701678179,0.0,-29.0,US,78.33306826372669,"J.B. Hunt Transport Services, Inc.",Industrials
MU,864.010009765625,7.495866470261388,4.0,7.068008268469488,5.098201264536321,1.3342505644578506,45.84328977417619,74.94913225429873,60.11703999816369,-11.707375838599203,-54.15671022582381,49.335986328125,4.0,1,1,1.0,1.0,1.1283557767783376,-0.19967204280223616,-32.0,US,77.94615296966344,"Micron Technology, Inc.",Technology
HST,24.6200008392334,2.0029188882468234,1.986549796069355,0.6271780997407109,0.48847164706047264,0.29394046958275744,100.0,100.0,86.32286516080308,146.64115293589603,-0.0,0.3080003102620443,4.0,1,1,1.0,1.0,0.9996369894000905,0.0,-35.0,US,77.76108500708247,"Host Hotels & Resorts, Inc.",Real Estate
NUE,254.38999938964844,3.154782894257939,2.7638219848377856,1.2278849684884487,0.9380052700607757,0.5126378553258422,80.5425430435167,92.85170660334131,74.79616691503568,61.736553980505924,-19.45745695648329,4.0679982503255205,4.0,1,1,1.0,1.0,0.9616249305903545,-0.03008235254830738,-41.0,US,77.10822569792161,Nucor Corporation,Basic Materials
STLD,268.5,2.3588505258131263,2.2267307215426198,0.9932131550592925,0.787071742560153,0.48301834125673637,84.38667840653537,94.79555946884511,78.37680169730733,66.31993503309452,-15.61332159346463,4.956001790364583,4.0,1,1,1.0,1.0,0.9649488762852858,-0.030160758242474106,-47.0,US,76.82345192028431,"Steel Dynamics, Inc.",Basic Materials
ROST,230.3699951171875,2.4096691450590484,2.2610228768711425,0.5400467717569252,0.5939222044861183,0.0902459080379372,81.28949329622696,88.22867482569417,65.03926966139946,40.72078036215072,-18.71050670377303,3.939997355143229,4.0,1,1,1.0,1.0,1.3455677615330752,-0.018908915666158155,-47.0,US,76.59878306025118,"Ross Stores, Inc.",Consumer Cyclical
AMAT,453.010009765625,3.2153074870708234,2.8046636835838914,1.2644247872312837,1.5162237952741973,0.3967271704917674,48.906147822639475,82.96871594087983,54.52880013634592,6.570946183429091,-51.093852177360525,12.724898274739584,4.0,1,1,1.0,1.0,1.211248844134336,-0.09705003240325583,-54.0,US,76.16265306271698,"Applied Materials, Inc.",Technology
SPG,210.30999755859375,1.716728635420076,1.7934300153852019,0.08843922064038054,0.31525438794302074,0.0919114405351309,100.0,80.20230396015657,76.05063604090131,190.70324445718612,-0.0,1.5019989013671875,4.0,1,1,1.0,1.0,1.1250500521632067,0.0,-60.0,US,76.11019235253295,"Simon Property Group, Inc.",Real Estate
CAT,904.280029296875,4.656281005421877,3.777025555055775,0.9394636082243126,1.5945199616028334,0.33059414075031235,54.9359255876717,84.97864186255721,53.23214742326749,40.79334214315987,-45.0640744123283,18.597322591145833,4.0,1,1,1.0,1.0,1.0630135158703178,-0.03849093220871369,-60.0,US,75.17943994232888,Caterpillar Inc.,Industrials
BNY,142.38999938964844,2.5261341350334514,2.3396128815938213,0.5672348535394801,0.5031140182769567,0.2406075043180831,78.83109702810195,84.04897804527423,68.36074647268393,89.34920571233776,-21.168902971898056,1.4019978841145833,4.0,1,1,1.0,1.0,0.9618097781220925,-0.011317906085663076,-64.0,US,75.16917859318691,The Bank of New York Mellon Cor,Financial Services
STT,161.75,2.341977307061473,2.2153447561836677,0.8357941940389657,0.5852852586270529,0.3452637960331244,91.57539670296897,90.04630361763422,66.50592863004783,110.78839654865725,-8.424603297031027,1.8579986572265625,4.0,1,1,1.0,1.0,0.8973413143783514,-0.006144393241167445,-63.0,US,75.12160614284855,State Street Corporation,Financial Services
NTRS,170.47000122070312,2.0593559408451165,2.0246332427017615,0.41161098318186085,0.5409183298423987,0.23574349980222653,77.93487808685806,84.47612141534981,65.29380797716358,118.53373120934798,-22.06512191314194,1.6349629720052083,4.0,1,1,1.0,1.0,0.9697402194665401,-0.010391230368126947,-66.0,US,75.11739646650969,Northern Trust Corporation,Financial Services
