symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,rank_vol_ratio,momentum_score,weekly_rank_ret_1w,weekly_rank_weekly_exp_slope,weekly_rank_weekly_rsi,weekly_rank_vol_surge,weekly_rank_price_vs_ema20,weekly_score,market,rank_change,weekly_rank_change,name,sector
DELL,394.3900146484375,1.6670719839811137,22.73502757500989,1.0906037381569549,1.700780409654986,68.97703608435789,74.5063381098308,49.04445579506835,-31.022963915642112,4.0,76.82993968027093,21.122665405273438,1,1,1.0,1.0,1.372365382043686,-0.15359682830954058,-0.06300631674927148,61032.442990242016,38.81579099777527,1.5400583544541104,0.18896705834519012,1.4571002409498253,81.20950323974083,99.57446808510639,91.03671706263499,99.57537154989384,62.7906976744186,91.5433403805497,66.27906976744185,37.315010570824526,84.93657505285412,95.43524416135881,80.96959975448236,10.782241014799155,99.89429175475686,36.25541125541126,90.78389830508475,99.6828752642706,67.47974351886452,US,0.0,-140.0,Dell Technologies Inc.,Technology
HPE,49.20000076293945,1.4702510237549127,4.916029647404577,0.7146033736099788,1.343457195266856,70.46323843281942,74.63280333405433,64.25651103905108,-29.536761567180573,4.0,85.25286511617803,2.247333780924479,1,1,1.0,1.0,1.5573636137102338,-0.12377561129248194,0.1431226699902275,165490.27391695345,65.3539367539971,3.910126753592443,0.19196443336380753,1.3565270474346165,79.04967602591793,97.87234042553192,86.06911447084234,99.25690021231422,63.95348837209303,91.75475687103594,71.24735729386892,36.1522198731501,84.93657505285412,98.93842887473461,80.92308574723431,99.2600422832981,100.0,74.89177489177489,99.6822033898305,99.78858350951374,94.72452081488345,US,0.0,-2.0,Hewlett Packard Enterprise Company,Technology
JBHT,284.95001220703125,1.9942585744408554,0.5819884454584552,0.7544095912804609,0.3378342161611543,100.0,72.71275269497619,115.42365517562118,-0.0,4.0,100.0,3.840667724609375,1,1,1.0,1.0,1.062391701678179,0.0,0.030821617613841834,7.513760038216128,76.19930631672197,0.8991704253820003,0.06876582880336723,1.6242887367282766,85.63714902807776,86.59574468085106,87.04103671706264,92.1443736730361,93.18181818181817,89.74630021141648,86.4693446088795,6.923890063424948,84.93657505285412,59.23566878980891,77.19119010072296,79.38689217758986,91.64904862579282,87.87878787878788,39.936440677966104,95.34883720930233,78.8400013138878,US,0.0,-52.0,"J.B. Hunt Transport Services, Inc.",Industrials
MU,864.010009765625,7.495866437824804,7.068008268469488,5.0982008257655425,1.3342505644578506,45.84328977417619,60.11703999816369,-11.707375838599203,-54.15671022582381,4.0,74.94913225429872,49.335986328125,1,1,1.0,1.0,1.1283557767783376,-0.19967204280223616,-0.11018536584384653,41.75670004123332,33.495815117999214,0.9517241033661905,0.012969786964190044,4.0,99.56803455723542,98.61702127659574,98.70410367170626,99.15074309978769,43.76321353065539,65.64482029598308,43.97463002114165,56.342494714587744,84.93657505285412,72.92993630573248,76.36315725262794,3.5940803382663846,96.61733615221986,30.41125541125541,49.36440677966102,64.69344608879493,48.93610495403952,US,0.0,-337.0,"Micron Technology, Inc.",Technology
HST,24.6200008392334,2.0029189757873103,0.6271780997407109,0.48847164706047264,0.29394046958275744,100.0,86.32286516080308,146.64115293589603,-0.0,4.0,100.0,0.3080003102620443,1,1,1.0,1.0,0.9996369894000905,0.0,0.07136646343194286,5.739213984202439,,1.0288050983629227,0.0761899602706051,1.6287140998579726,85.7451403887689,87.34042553191489,80.12958963282938,90.76433121019109,93.18181818181817,99.2600422832981,93.12896405919662,6.923890063424948,84.93657505285412,41.932059447983015,76.33428358522792,95.77167019027483,90.38054968287527,,60.16949152542372,96.723044397463,85.76118894900921,US,0.0,-21.0,"Host Hotels & Resorts, Inc.",Real Estate
NUE,254.38999938964844,3.1547826152299145,1.2278849684884487,0.9380052700607757,0.5126378553258422,80.5425430435167,74.79616691503568,61.736553980505924,-19.45745695648329,4.0,92.85170660334131,4.0679982503255205,1,1,1.0,1.0,0.9616249305903545,-0.03008235254830738,0.01755999755859383,11.286443971628893,60.14796044699941,0.9838743559889909,0.054627344966272195,2.2173028587973365,93.84449244060475,92.23404255319149,89.6328293736501,96.17834394904459,72.3044397463002,91.86046511627907,70.61310782241014,27.801268498942918,84.93657505285412,32.48407643312102,75.18896409863984,70.19027484143763,93.44608879492601,68.5064935064935,53.70762711864406,92.28329809725159,75.62675647175055,US,0.0,-67.0,Nucor Corporation,Basic Materials
ROST,230.3699951171875,2.409670419477853,0.5400467717569252,0.5939222044861183,0.0902459080379372,81.28949329622696,65.03926966139946,40.72078036215072,-18.71050670377303,4.0,88.2286748256942,3.939997355143229,1,1,1.0,1.0,1.3455677615330752,-0.018908915666158155,-0.005868901891970091,-0.03982551390731772,46.57257583833051,0.8782312183111461,0.019137911545408004,1.8365592989255144,89.52483801295897,85.95744680851064,84.01727861771057,71.44373673036092,72.83298097251586,75.8985200845666,62.7906976744186,27.27272727272727,84.93657505285412,94.16135881104034,74.88361600376638,46.19450317124736,39.74630021141649,48.05194805194805,36.1228813559322,69.97885835095138,48.0188982282991,US,0.0,-350.0,"Ross Stores, Inc.",Consumer Cyclical
STLD,268.5,2.358850218751875,0.9932131550592925,0.787071742560153,0.48301834125673637,84.38667840653537,78.37680169730733,66.31993503309452,-15.61332159346463,4.0,94.79555946884511,4.956001790364583,1,1,1.0,1.0,0.9649488762852858,-0.030160758242474106,0.032096891406571126,20.95497277385596,66.66666666666666,0.9449802482410415,0.07030845923338513,1.8105907746574617,88.87688984881208,90.63829787234042,87.6889848812095,95.96602972399151,75.8985200845666,94.9260042283298,71.98731501057082,24.207188160676534,84.93657505285412,33.33333333333333,74.84591381966848,80.33826638477801,94.82029598308668,76.73160173160173,47.88135593220339,95.77167019027483,79.10863804438893,US,0.0,-50.0,"Steel Dynamics, Inc.",Basic Materials
AMAT,453.010009765625,3.215306684122055,1.2644247917284432,1.5162237952741973,0.3967271704917674,48.906147822639475,54.52880013634592,6.570946183429091,-51.093852177360525,4.0,82.96871594087985,12.724898274739584,1,1,1.0,1.0,1.211248844134336,-0.09705003240325583,0.006554708756685734,8.649054890553149,51.47015434293686,1.1613916085962626,0.009379916339458338,2.248229945455289,93.9524838012959,92.5531914893617,93.84449244060475,93.41825902335457,46.82875264270613,51.05708245243129,50.21141649048626,53.276955602537,84.93657505285412,85.13800424628451,74.52172132419162,59.40803382663847,92.17758985200845,55.73593073593074,73.9406779661017,61.41649048625793,68.53574457338746,US,0.0,-131.0,"Applied Materials, Inc.",Technology
SPG,210.30999755859375,1.7167287819191974,0.08843922064038054,0.31525438794302074,0.0919114405351309,100.0,76.05063604090131,190.70324445718612,-0.0,4.0,80.20230396015661,1.5019989013671875,1,1,1.0,1.0,1.1250500521632067,0.0,0.026353002781595913,0.003959476619192182,77.49485676638221,1.1688863023974756,0.029382307708035293,1.4824742800899293,81.96544276457884,72.02127659574468,69.43844492440606,72.08067940552016,93.18181818181817,93.34038054968288,97.67441860465115,6.923890063424948,84.93657505285412,72.39915074309978,74.39620768857807,76.63847780126851,57.2938689217759,88.63636363636364,74.25847457627118,79.59830866807611,75.28509872075107,US,0.0,-68.0,"Simon Property Group, Inc.",Real Estate
