symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,weekly_score
TEA.AX,8.229999542236328,2.181728184779184,1.731120610413332,5.327667999646114,1.0421344708776377,0.9693739707162827,100.0,99.2559636581929,86.14864951942532,121.13864061906332,-0.0,0.20133326848347982,4.0,1,1,1.0,1.0,1.4579406384156446,0.0,0,AU,84.21566693941126,Tasmea Limited,Industrials,0.1673757900109314,6358.109026448181,87.82052810376965,1.713217626888491,0.20033106184653393,97.75712041269786
ELS.AX,7.619999885559082,5.9272612193756595,3.680118708081779,3.373245738318701,5.386792779605404,0.3905109231819692,93.74999426878395,85.09614840884632,75.59523395602682,84.68039495887315,-6.250005731216054,0.24733333587646483,4.0,1,1,1.0,1.0,1.2005458139669922,-0.01677420831495713,0,AU,82.83651414892016,Elsight Limited,Technology,0.0013140278408982908,1671.76673446519,50.549436729757616,0.6610950173767259,0.1200133991831418,64.13036293727914
JGH.AX,0.08900000154972076,1.0136546700275506,1.1233104437001458,42.94594743806995,0.965517298964061,2.5600000089406967,100.0,94.55554521580666,81.39533715160971,108.02469910840009,-0.0,0.002933334559202194,4.0,1,1,1.0,1.0,1.4834153664766314,0.0,0,AU,82.11212013655913,Jade Gas Holdings Limited,Energy,0.034883703804777566,2021.8307830239394,63.636339006378364,1.3255705444825514,0.214655320880776,88.23073754340744
VMM.AX,3.5799999237060547,5.500876610171144,3.458248340222579,2.630978446024675,5.769231286509757,0.696682512651722,74.31192720752108,74.06545590291877,74.0540516855421,34.83591441591665,-25.68807279247892,0.12599999109903973,4.0,1,1,1.0,1.0,1.276764540628581,-0.07253885466305676,0,AU,82.01941188598032,Viridis Mining and Minerals Limited,Basic Materials,-0.04787235830152892,0.020827333045811785,29.54543853593593,1.2420054666970428,0.08735618982217774,57.16439938811353
DELL,394.3900146484375,1.6670719982110938,1.463317891999297,22.73502757500989,1.0906037381569549,1.700780409654986,68.97703608435789,76.8299396802709,74.5063381098308,49.04445579506835,-31.022963915642112,21.122665405273438,4.0,1,1,1.0,1.0,1.372365382043686,-0.15359682830954058,0,US,80.89048780225923,Dell Technologies Inc.,Technology,-0.06300631674927148,61032.442990242016,38.81579099777527,1.5400583544541104,0.18896705834518945,68.48428208193829
HPE,49.20000076293945,1.470250630238865,1.3609013685792326,4.916029647404577,0.7146031848104433,1.343457195266856,70.46323843281942,85.25286511617803,74.63280333405433,64.25651103905108,-29.536761567180573,2.247333780924479,4.0,1,1,1.0,1.0,1.5573636137102338,-0.12377561129248194,0,US,80.85483989090764,Hewlett Packard Enterprise Company,Technology,0.1431226699902275,165490.27391695345,65.3539367539971,3.910126753592443,0.19196443336380709,94.82869246426453
SPL.AX,0.7549999952316284,6.273419053256242,3.860242859569598,4.408606748820247,7.0898878210467675,0.8641975136032884,100.0,99.18699257907572,97.67442053882051,97.81867374622027,-0.0,0.018999997774759927,4.0,1,1,1.0,1.0,0.9672083287197955,0.0,0,AU,79.7910281117345,Starpharma Holdings Limited,Healthcare,0.07857144012743134,112.48180343573691,92.30769936149669,0.9599422899126886,0.08483752314115,87.98158543455732
CBE.AX,0.3199999928474426,3.595909493000426,2.4669936234191887,1.381255269735038,3.891304208743888,0.6842105098048072,73.91304122477703,91.3043470749257,69.56521964478863,79.54544867872019,-26.08695877522297,0.016333329677581786,4.0,1,1,1.0,1.0,1.0899095989202048,-0.08571429057997104,0,AU,79.76505903461923,Cobre Limited,Basic Materials,0.18518511159920692,489.86896646500463,72.72726780126834,1.508686885288824,0.1494023161001823,94.2099940005048
GNP.AX,10.079999923706055,4.072906977856987,2.7152005360244136,1.6243590866079916,1.754800533248559,0.30768356635191507,75.32462063601369,66.23371529824806,55.62913719067977,63.99100704263944,-24.675379363986305,0.201333491007487,4.0,1,1,1.0,1.0,1.412934432966322,-0.018500538032010017,0,AU,78.34889188661695,GenusPlus Group Ltd,Industrials,0.06105262354800578,0.013885305591227732,73.77046489231307,0.799786734477068,0.03213794752020416,69.60393700608752
SIQ.AX,11.920000076293945,2.05771462006204,1.6665898214745458,1.5929870028779636,0.5609675585596212,0.45365857970211176,100.0,86.6666158040365,68.82352050201365,244.0722967060811,-0.0,0.12266674041748046,4.0,1,1,1.0,1.0,1.0533282878844037,0.0,0,AU,78.23177379074562,Smartgroup Corporation Ltd,Industrials,0.04653202080734764,0.29080785560714606,81.17640591007876,0.8495131376745132,0.06243402438574752,76.02349966664069
WBT.AX,7.550000190734863,1.5815543065042605,1.418818533185987,0.1503799101519965,1.4,0.5599173456013153,84.15300688834297,69.39890026928707,64.15584473490085,94.78207936647465,-15.846993111657028,0.2793333689371745,4.0,1,1,1.0,1.0,1.3518479512048587,-0.0369897903327594,0,AU,78.13936181987053,Weebit Nano Limited,Technology,0.041379336653084575,-0.007236737156667408,72.05882765429882,0.6276005888291541,0.13649984368744916,64.72815484800375
PEB.NZ,0.30000001192092896,1.081662592491821,1.1586985474186131,0.03651612815116184,0.8333333074632621,0.5151515835682337,100.0,75.61904944854251,62.49999689559232,202.45106881946964,-0.0,0.014333336551984151,4.0,1,1,1.0,1.0,2.0144007282371588,0.0,0,NZ,77.72643184917459,Pacific Edge Limited,Healthcare,0.13207557779396217,2.9082846658902075,,0.7871202139232771,0.17063469080389404,76.83466705996537
JBHT,284.95001220703125,1.99425904764513,1.6335705452367795,0.5819884454584552,0.7544095912804609,0.3378342161611543,100.0,100.0,72.71275269497619,115.42365517562118,-0.0,3.840667724609375,4.0,1,1,1.0,1.0,1.062391701678179,0.0,0,US,77.1954550164938,"J.B. Hunt Transport Services, Inc.",Industrials,0.030821617613841834,7.513760038216128,76.19930631672197,0.8991704253820003,0.06876582880336524,79.31790643037814
SKS.AX,8.600000381469727,6.351105814924763,3.9006673730653874,13.070156318811456,3.771159405803102,0.9589978685704237,53.65857700731742,63.61790337592013,62.460583814570676,8.668785755315175,-46.34142299268258,0.24399986267089843,4.0,1,1,1.0,1.0,1.1018136023613254,-0.0811965067397572,0,AU,77.13286236129368,SKS Technologies Group Limited,Industrials,-0.054945052641772074,0.4966498224851351,29.838674944163813,0.7144714299017849,0.028437114228340832,43.015171981130365
