symbol,price,ram_raw,ram_score,exp_slope,ret_12_1,ret_3m,stoch_k,stoch_d,rsi,cci,wpr,atr,ma_score,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,rank_change,market,momentum_score,name,sector,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,weekly_score,weekly_rank_change
HPE,49.20000076293945,1.4702510237549127,1.356425925390703,4.916029647404577,0.7146033736099788,1.343457195266856,70.46323843281942,85.25286511617803,74.63280333405433,64.25651103905108,-29.536761567180573,2.247333780924479,4.0,1,1,1,1,1.5573636137102338,-0.12377561129248194,0,US,80.94068834442669,Hewlett Packard Enterprise Company,Technology,0.1431226699902275,165490.27391695345,65.3539367539971,3.910126753592443,0.19196443336380753,93.89955330194374,0
JBHT,284.95001220703125,1.9942585744408554,1.6028722454805258,0.5819884454584552,0.7544095912804609,0.3378342161611543,100.0,100.0,72.71275269497619,115.42365517562118,-0.0,3.840667724609375,4.0,1,1,1,1,1.062391701678179,0.0,1,US,76.99797615923532,"J.B. Hunt Transport Services, Inc.",Industrials,0.030821617613841834,7.513760038216128,76.19930631672197,0.8991704253820003,0.06876582880336723,77.17059036580949,0
HST,24.6200008392334,2.0029189757873103,1.6069453242740295,0.6271780997407109,0.48847164706047264,0.29394046958275744,100.0,100.0,86.32286516080308,146.64115293589603,-0.0,0.3080003102620443,4.0,1,1,1,1,0.9996369894000905,0.0,1,US,76.1202097796439,"Host Hotels & Resorts, Inc.",Real Estate,0.07136646343194286,5.739213984202439,,1.0288050983629227,0.0761899602706051,86.95219123505976,0
SPG,210.30999755859375,1.7167287819191974,1.4723470345504126,0.08843922064038054,0.31525438794302074,0.0919114405351309,100.0,80.20230396015661,76.05063604090131,190.70324445718612,-0.0,1.5019989013671875,4.0,1,1,1,1,1.1250500521632067,0.0,2,US,74.84232729759604,"Simon Property Group, Inc.",Real Estate,0.026353002781595913,0.003959476619192182,77.49485676638221,1.1688863023974756,0.029382307708035293,74.62416998671979,0
NUE,254.38999938964844,3.1547826152299145,2.1486790355808645,1.2278849684884487,0.9380052700607757,0.5126378553258422,80.5425430435167,92.85170660334131,74.79616691503568,61.736553980505924,-19.45745695648329,4.0679982503255205,4.0,1,1,1,1,0.9616249305903545,-0.03008235254830738,2,US,74.4299250105367,Nucor Corporation,Basic Materials,0.01755999755859383,11.286443971628893,60.14796044699941,0.9838743559889909,0.054627344966272195,73.84112036701679,0
STLD,268.5,2.358850218751875,1.7743435705756103,0.9932131550592925,0.787071742560153,0.48301834125673637,84.38667840653537,94.79555946884511,78.37680169730733,66.31993503309452,-15.61332159346463,4.956001790364583,4.0,1,1,1,1,0.9649488762852858,-0.030160758242474106,2,US,74.28932970711962,"Steel Dynamics, Inc.",Basic Materials,0.032096891406571126,20.95497277385596,66.66666666666666,0.9449802482410415,0.07030845923338513,77.17268300535233,0
MGM,47.5099983215332,0.5360948181477082,0.9234312370640034,0.3583130047703228,0.2179609937767648,0.33567609584338487,78.32310359855754,81.09520396888053,77.67856802974663,73.34174510734287,-21.67689640144246,1.2799997965494792,4.0,1,1,1,1,1.2468181169255208,-0.06273427483385674,4,US,73.00170575184293,MGM Resorts International,Consumer Cyclical,0.08793222609564011,935.6285958475166,68.82352875178253,1.9533132004667517,0.1114243999435387,94.4360738862731,0
MAR,392.510009765625,1.390600169669039,1.3189652822076439,0.24297021321700887,0.3643233745283836,0.21459168132286544,100.0,90.34518817934098,78.8884509262909,152.66724205678497,-0.0,4.63953857421875,4.0,1,1,1,1,0.9837479826073057,0.0,4,US,72.65065486556767,"Marriott International, Inc.",Consumer Cyclical,0.04502130827295292,0.36934716315090144,86.2720454137815,0.9551598308876984,0.05517997356792459,79.06789005593787,0
GS,1038.6800537109375,1.9637445474129136,1.5885211742749417,0.11962567765724916,0.5520630777372995,0.2700661156691726,67.88837387802214,83.68321455186282,66.10226716515835,55.320201463223334,-32.111626121977864,20.895939127604166,4.0,1,1,1,1,1.0836785906681643,-0.04935881271785403,4,US,72.43534842665267,"The Goldman Sachs Group, Inc.",Financial Services,0.017256570726559062,6.81371801606761,55.104293897111404,1.246549571709331,0.03896883295767517,76.80719546058191,0
MS,211.92999267578125,1.9153129161648146,1.5657432633814499,0.38515054513420477,0.49104331796705747,0.3294372111637147,77.90166937201234,86.2821870335551,70.10351650302695,73.25576343845793,-22.098330627987668,3.354667154947917,4.0,1,1,1,1,1.0042583118493245,-0.029046646229802686,6,US,72.0361865909615,Morgan Stanley,Financial Services,0.018894195556640625,6.034204931021029,57.47430847933361,1.1482003890172168,0.04474429480426356,77.01879351281741,0
