symbol,price,ram_raw,exp_slope,ret_12_1,ret_3m,stoch_k,rsi,cci,wpr,ma_score,stoch_d,atr,above_ma25,above_ma50,above_ma100,above_ma200,vol_ratio,high_52w_pct,ret_1w,weekly_exp_slope,weekly_rsi,vol_surge,price_vs_ema20,ram_score,rank_ram_score,rank_exp_slope,rank_ret_12_1,rank_ret_3m,rank_stoch_k,rank_rsi,rank_cci,rank_wpr,rank_ma_score,rank_vol_ratio,momentum_score,weekly_rank_ret_1w,weekly_rank_weekly_exp_slope,weekly_rank_weekly_rsi,weekly_rank_vol_surge,weekly_rank_price_vs_ema20,weekly_score,market,rank_change,weekly_rank_change,name,sector
HPE,49.20000076293945,1.4702510237549127,4.916029647404577,0.7146033736099788,1.343457195266856,70.46323843281942,74.63280333405433,64.25651103905108,-29.536761567180573,4.0,85.25286511617803,2.247333780924479,1,1,1,1,1.5573636137102338,-0.12377561129248194,0.1431226699902275,165490.27391695345,65.3539367539971,3.910126753592443,0.19196443336380753,1.356425925390703,82.03592814371258,98.00796812749005,90.21956087824351,99.20318725099602,56.97211155378486,91.63346613545816,65.93625498007968,43.22709163346614,82.17131474103586,100.0,80.94068834442669,99.800796812749,100.0,69.6969696969697,100.0,100.0,93.89955330194374,US,0.0,0.0,Hewlett Packard Enterprise Company,Technology
DELL,394.3900146484375,1.6670719839811137,22.73502757500989,1.0906037381569549,1.700780409654986,68.97703608435789,74.5063381098308,49.04445579506835,-31.022963915642112,4.0,76.82993968027093,21.122665405273438,1,1,1,1,1.372365382043686,-0.15359682830954058,-0.06300631674927148,61032.442990242016,38.81579099777527,1.5400583544541104,0.18896705834519012,1.4489929147419003,83.63273453093812,99.800796812749,94.01197604790418,99.800796812749,55.77689243027888,91.43426294820716,60.1593625498008,44.42231075697211,82.17131474103586,97.41035856573706,80.86208061963721,9.760956175298805,99.800796812749,27.878787878787882,94.82071713147411,99.800796812749,66.41241096221175,US,,,Dell Technologies Inc.,Technology
JBHT,284.95001220703125,1.9942585744408554,0.5819884454584552,0.7544095912804609,0.3378342161611543,100.0,72.71275269497619,115.42365517562118,-0.0,4.0,100.0,3.840667724609375,1,1,1,1,1.062391701678179,0.0,0.030821617613841834,7.513760038216128,76.19930631672197,0.8991704253820003,0.06876582880336723,1.6028722454805258,88.82235528942117,86.25498007968127,91.01796407185628,91.63346613545816,91.73306772908366,88.64541832669323,82.27091633466136,8.46613545816733,82.17131474103586,58.964143426294825,76.99797615923532,76.09561752988047,92.62948207171314,85.45454545454545,35.85657370517929,95.81673306772909,77.17059036580949,US,-1.0,0.0,"J.B. Hunt Transport Services, Inc.",Industrials
HST,24.6200008392334,2.0029189757873103,0.6271780997407109,0.48847164706047264,0.29394046958275744,100.0,86.32286516080308,146.64115293589603,-0.0,4.0,100.0,0.3080003102620443,1,1,1,1,0.9996369894000905,0.0,0.07136646343194286,5.739213984202439,,1.0288050983629227,0.0761899602706051,1.6069453242740295,89.02195608782435,86.65338645418326,84.4311377245509,90.0398406374502,91.73306772908366,99.60159362549801,90.0398406374502,8.46613545816733,82.17131474103586,39.04382470119522,76.1202097796439,97.01195219123507,90.63745019920319,,62.54980079681275,97.60956175298804,86.95219123505976,US,-1.0,0.0,"Host Hotels & Resorts, Inc.",Real Estate
MU,864.010009765625,7.495866437824804,7.068008268469488,5.0982008257655425,1.3342505644578506,45.84328977417619,60.11703999816369,-11.707375838599203,-54.15671022582381,4.0,74.94913225429872,49.335986328125,1,1,1,1,1.1283557767783376,-0.19967204280223616,-0.11018536584384653,41.75670004123332,33.495815117999214,0.9517241033661905,0.012969786964190044,4.0,99.50099800399201,98.60557768924303,99.00199600798403,99.00398406374502,36.45418326693227,58.366533864541836,37.25099601593625,63.745019920318725,82.17131474103586,74.5019920318725,74.86025956056015,2.788844621513944,97.01195219123507,21.41414141414141,46.81274900398406,58.56573705179283,45.318684856533466,US,,,"Micron Technology, Inc.",Technology
SPG,210.30999755859375,1.7167287819191974,0.08843922064038054,0.31525438794302074,0.0919114405351309,100.0,76.05063604090131,190.70324445718612,-0.0,4.0,80.20230396015661,1.5019989013671875,1,1,1,1,1.1250500521632067,0.0,0.026353002781595913,0.003959476619192182,77.49485676638221,1.1688863023974756,0.029382307708035293,1.4723470345504126,84.63073852295409,72.11155378486056,73.85229540918164,71.51394422310757,91.73306772908366,93.42629482071713,96.61354581673307,8.46613545816733,82.17131474103586,73.90438247011953,74.84232729759604,73.10756972111554,56.77290836653387,86.66666666666667,80.2788844621514,76.29482071713147,74.62416998671979,US,-2.0,0.0,"Simon Property Group, Inc.",Real Estate
NUE,254.38999938964844,3.1547826152299145,1.2278849684884487,0.9380052700607757,0.5126378553258422,80.5425430435167,74.79616691503568,61.736553980505924,-19.45745695648329,4.0,92.85170660334131,4.0679982503255205,1,1,1,1,0.9616249305903545,-0.03008235254830738,0.01755999755859383,11.286443971628893,60.14796044699941,0.9838743559889909,0.054627344966272195,2.1486790355808645,95.20958083832335,92.23107569721115,93.01397205588823,95.81673306772909,67.13147410358566,91.83266932270917,65.13944223107569,33.067729083665334,82.17131474103586,28.68525896414343,74.4299250105367,65.73705179282868,94.02390438247012,63.030303030303024,53.18725099601593,93.22709163346613,73.84112036701679,US,-2.0,0.0,Nucor Corporation,Basic Materials
STLD,268.5,2.358850218751875,0.9932131550592925,0.787071742560153,0.48301834125673637,84.38667840653537,78.37680169730733,66.31993503309452,-15.61332159346463,4.0,94.79555946884511,4.956001790364583,1,1,1,1,0.9649488762852858,-0.030160758242474106,0.032096891406571126,20.95497277385596,66.66666666666666,0.9449802482410415,0.07030845923338513,1.7743435705756103,91.01796407185628,90.43824701195219,91.41716566866268,95.4183266932271,71.91235059760956,95.61752988047809,66.93227091633466,28.286852589641438,82.17131474103586,29.681274900398407,74.28932970711962,76.89243027888446,95.0199203187251,71.91919191919192,45.61752988047809,96.41434262948208,77.17268300535233,US,-2.0,0.0,"Steel Dynamics, Inc.",Basic Materials
ROST,230.3699951171875,2.409670419477853,0.5400467717569252,0.5939222044861183,0.0902459080379372,81.28949329622696,65.03926966139946,40.72078036215072,-18.71050670377303,4.0,88.2286748256942,3.939997355143229,1,1,1,1,1.3455677615330752,-0.018908915666158155,-0.005868901891970091,-0.03982551390731772,46.57257583833051,0.8782312183111461,0.019137911545408004,1.7982448510795812,91.61676646706587,85.65737051792829,88.22355289421158,70.7171314741036,67.92828685258964,71.11553784860558,56.77290836653387,32.27091633466135,82.17131474103586,96.41434262948208,74.28881281262177,40.438247011952186,37.84860557768924,40.80808080808081,31.274900398406373,64.7410358565737,43.02217393054046,US,,,"Ross Stores, Inc.",Consumer Cyclical
AMAT,453.010009765625,3.215306684122055,1.2644247917284432,1.5162237952741973,0.3967271704917674,48.906147822639475,54.52880013634592,6.570946183429091,-51.093852177360525,4.0,82.96871594087985,12.724898274739584,1,1,1,1,1.211248844134336,-0.09705003240325583,0.006554708756685734,8.649054890553149,51.47015434293686,1.1613916085962626,0.009379916339458338,2.177144148413314,95.40918163672654,92.62948207171314,96.40718562874252,92.82868525896414,39.243027888446214,43.42629482071713,43.22709163346614,60.95617529880478,82.17131474103586,88.24701195219123,73.45454509308077,51.79282868525896,93.42629482071713,47.878787878787875,80.0796812749004,54.38247011952191,65.51201255583726,US,,,"Applied Materials, Inc.",Technology
